Year,Cause of Death,State,Deaths
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alabama,3292
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Alaska,362
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arizona,3910
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Arkansas,2006
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",California,16672
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Colorado,2984
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Connecticut,2129
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Delaware,471
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",District of Columbia,43
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Florida,9782
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Georgia,4318
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Hawaii,202
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Idaho,1104
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Illinois,6856
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Indiana,4183
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Iowa,2181
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kansas,2018
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Kentucky,3249
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Louisiana,2502
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maine,941
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Maryland,1832
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Massachusetts,2775
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Michigan,5394
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Minnesota,3657
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Mississippi,1849
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Missouri,4501
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Montana,795
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nebraska,1323
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Nevada,1301
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Hampshire,673
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Jersey,4188
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New Mexico,1742
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",New York,8541
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Carolina,4926
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",North Dakota,438
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Ohio,6741
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oklahoma,2757
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Oregon,2507
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Pennsylvania,9089
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Rhode Island,493
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Carolina,2498
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",South Dakota,579
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Tennessee,4433
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Texas,12073
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Utah,1089
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Vermont,433
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Virginia,3591
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Washington,3720
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",West Virginia,1525
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wisconsin,3900
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Wyoming,422
1999,Acute and subacute endocarditis (I33),Arizona,18
1999,Acute and subacute endocarditis (I33),California,110
1999,Acute and subacute endocarditis (I33),Connecticut,13
1999,Acute and subacute endocarditis (I33),Florida,77
1999,Acute and subacute endocarditis (I33),Georgia,17
1999,Acute and subacute endocarditis (I33),Illinois,36
1999,Acute and subacute endocarditis (I33),Indiana,12
1999,Acute and subacute endocarditis (I33),Iowa,12
1999,Acute and subacute endocarditis (I33),Kansas,13
1999,Acute and subacute endocarditis (I33),Kentucky,10
1999,Acute and subacute endocarditis (I33),Maryland,17
1999,Acute and subacute endocarditis (I33),Massachusetts,31
1999,Acute and subacute endocarditis (I33),Michigan,33
1999,Acute and subacute endocarditis (I33),Minnesota,10
1999,Acute and subacute endocarditis (I33),Missouri,15
1999,Acute and subacute endocarditis (I33),New Jersey,28
1999,Acute and subacute endocarditis (I33),New York,63
1999,Acute and subacute endocarditis (I33),North Carolina,13
1999,Acute and subacute endocarditis (I33),Ohio,40
1999,Acute and subacute endocarditis (I33),Oregon,11
1999,Acute and subacute endocarditis (I33),Pennsylvania,58
1999,Acute and subacute endocarditis (I33),South Carolina,12
1999,Acute and subacute endocarditis (I33),Tennessee,25
1999,Acute and subacute endocarditis (I33),Texas,47
1999,Acute and subacute endocarditis (I33),Virginia,17
1999,Acute and subacute endocarditis (I33),Washington,20
1999,Acute and subacute endocarditis (I33),Wisconsin,17
1999,Alzheimer's disease (G30),Alabama,861
1999,Alzheimer's disease (G30),Alaska,28
1999,Alzheimer's disease (G30),Arizona,1312
1999,Alzheimer's disease (G30),Arkansas,535
1999,Alzheimer's disease (G30),California,5744
